prompt,C,E,D,B,A,answer
What is the role of the Lainingthou Sanamahi Temple Board (LSTB) in the Lainingthou Sanamahi Temple of Manipur?,The LSTB is dedicated to the preservation and promotion of the Sanamahism religious practices in Manipur.,The LSTB is responsible for the restoration and maintenance of the Lainingthou Sanamahi Temple and its surrounding areas.,The LSTB serves as a governing body for all Meitei religious practices in Manipur.,The LSTB focuses solely on the worship and rituals associated with the Lainingthou Sanamahi God and Goddess Leimarel Sidabi.,The LSTB oversees the organization of annual festivals and cultural events within the Lainingthou Sanamahi Temple complex.,E
What is the source of water for Foremark Reservoir in South Derbyshire?,The reservoir is supplied with water from a nearby natural spring.,The reservoir's water source is the River Dove at Egginton.,The reservoir is filled with water sourced from multiple rivers in the region.,The reservoir is supplied with water through an underground aquifer.,The reservoir is filled with rainwater collected from its catchment area.,E
"In the music album ""More Jack than God"", who co-produced the album alongside Jack Bruce?",Kip Hanrahan,Eric Clapton,Phil Manzanera,Steve Winwood,Ginger Baker,C
What is the main purpose of the A36 road in southwest England?,To serve as a primary route for commuters in southwest England.,To provide a road link between the major ports of Southampton and Bristol.,To provide a road link between Bath and London.,To serve as a trunk road for transportation of goods.,To connect the city of Bath to the city of Southampton.,E
Which creek is a tributary of Bryant Creek in Missouri?,Fox Creek,Brush Creek,Bill Macks Creek,Pine Creek,Rippee Creek,B
"What does the denomination ""458"" refer to in the Wikipedia excerpt?",The year in which the Julian calendar was introduced in Europe.,The year in which the Anno Domini calendar era became prevalent in Europe.,The beginning of the early medieval period in Europe.,The year in which the Consulship of Maiorianus and Leo took place.,The year in which the Julian calendar was abolished in Europe.,E
What is one of the main services provided by Applus+ IDIADA?,Applus+ IDIADA specializes in providing marketing and advertising services to the automotive industry.,Applus+ IDIADA focuses on providing customer support and assistance for car owners.,Applus+ IDIADA offers vehicle manufacturing services to automotive companies.,"Applus+ IDIADA provides design, testing, engineering, and homologation services in the automotive industry.",Applus+ IDIADA primarily offers research and development services in the field of renewable energy.,B
What is the total land area of 'Atara?,"'Atara's total land area consists of 7,500 dunams, most of which is cultivable.","'Atara's total land area consists of 8,200 dunams, most of which is cultivable.","'Atara's total land area consists of 11,900 dunams, most of which is cultivable.","'Atara's total land area consists of 9,545 dunams, most of which is cultivable.","'Atara's total land area consists of 10,300 dunams, most of which is cultivable.",B
"Which of the following statements accurately describes the release date of Bossk's debut studio album, Audio Noir?",Audio Noir was released via Deathwish Inc. on 1 April 2016.,Audio Noir is the debut studio album by the English heavy metal band Bossk.,Audio Noir was released on 1 April 2016.,"Audio Noir was recorded at In Lieu of a Studio in Battle, East Sussex.",Audio Noir was recorded by Martin Ruffin.,C
"What is the significance of the film Rekrut 67, Petersen in Danish cinema?","Rekrut 67, Petersen is a critically acclaimed drama that tackles social issues prevalent in 1950s Denmark.","Rekrut 67, Petersen is a controversial film that faced heavy censorship due to its explicit content and themes.","Rekrut 67, Petersen is considered a groundbreaking experimental film, introducing innovative storytelling techniques to Danish cinema.","Rekrut 67, Petersen is a forgotten film, not leaving a significant impact on the Danish cinema landscape.","Rekrut 67, Petersen is a commercially successful comedy that achieved high box office numbers in Danish cinema history.",B
What is the significance of the film Manithan Maravillai in the context of Indian cinema?,Manithan Maravillai is an insignificant film in the larger context of Indian cinema and did not have a significant impact or contribution to the industry.,"Manithan Maravillai is a pioneering film that introduced new techniques and technology to Indian cinema, revolutionizing the way films were made during that time. This film set a benchmark for the industry and inspired several future filmmakers.","Manithan Maravillai is a critically acclaimed film that received several awards and accolades for its exceptional storytelling, performances, and technical aspects. It is regarded as one of the greatest films in Indian cinema.","Manithan Maravillai is a controversial film that sparked debates and discussions due to its unconventional narrative, bold themes, and controversial subject matter. It challenged societal norms and provoked intellectual discourse.",Manithan Maravillai is a commercially successful film that broke box office records and became one of the highest-grossing films of its time. It attracted a large audience and established new records for the film industry.,C
"Who recorded the song ""You Got It""?",Diana Ross,Richard Perry,Linda Laurie,Linda Laurie and Jerry Ragovoy ,Jerry Ragovoy,C
"What is the population of Dickeyville, a village in Grant County, Wisconsin?",The population of Dickeyville is unknown.,"The population of Dickeyville was 1,061 at the 2010 census.",The population of Dickeyville is the largest in Grant County.,"The population of Dickeyville is estimated to be around 2,500.",The population of Dickeyville has steadily decreased over the past decade.,E
"What is the geographical location of IFK Kalix, a Swedish football club?",IFK Kalix is located in Västerbotten County.,IFK Kalix is located in Kalix in Norrbotten County.,IFK Kalix is located in Norrland in Norrbotten County.,IFK Kalix is located in Luleå in Norrbotten County.,IFK Kalix is located in Kiruna in Norrbotten County.,E
What is the campus of La Jolla High School surrounded by?,Agricultural farms and fields.,Parks and recreational areas.,Shopping malls and retail stores.,"Residential housing and private and public entities including the University of California, San Diego, Salk Institute, Scripps Institution of Oceanography, Scripps Health, and Scripps Research Institute.",Industrial factories and manufacturing plants.,B
